qtl_id,pmc_id
QTL:4551535_5_1,PMC4551535
QTL:4551535_5_15,PMC4551535
QTL:4551535_5_17,PMC4551535
QTL:4551535_5_18,PMC4551535
QTL:4551535_5_19,PMC4551535
QTL:4551535_5_26,PMC4551535
QTL:4551535_5_27,PMC4551535
QTL:4551535_5_29,PMC4551535
QTL:4551535_5_6,PMC4551535
QTL:4551535_5_8,PMC4551535
QTL:4551535_5_9,PMC4551535
QTL:4551535_6_3,PMC4551535
QTL:4551535_6_4,PMC4551535
QTL:4551535_6_6,PMC4551535
QTL:4648990_1_1,PMC4648990
QTL:4648990_1_11,PMC4648990
QTL:4648990_1_12,PMC4648990
QTL:4648990_1_2,PMC4648990
QTL:4648990_1_3,PMC4648990
QTL:4648990_1_4,PMC4648990
QTL:4648990_1_6,PMC4648990
QTL:4648990_1_7,PMC4648990
QTL:4703618_2_1,PMC4703618
QTL:4703618_2_10,PMC4703618
QTL:4703618_2_11,PMC4703618
QTL:4703618_2_12,PMC4703618
QTL:4703618_2_14,PMC4703618
QTL:4703618_2_15,PMC4703618
QTL:4703618_2_16,PMC4703618
QTL:4703618_2_17,PMC4703618
QTL:4703618_2_18,PMC4703618
QTL:4703618_2_19,PMC4703618
QTL:4703618_2_22,PMC4703618
QTL:4703618_2_5,PMC4703618
QTL:4703618_2_6,PMC4703618
QTL:4703618_2_7,PMC4703618
QTL:4703618_2_9,PMC4703618
QTL:4900573_7_1,PMC4900573
QTL:4900573_7_10,PMC4900573
QTL:4900573_7_11,PMC4900573
QTL:4900573_7_12,PMC4900573
QTL:4900573_7_13,PMC4900573
QTL:4900573_7_14,PMC4900573
QTL:4900573_7_2,PMC4900573
QTL:4900573_7_3,PMC4900573
QTL:4900573_7_4,PMC4900573
QTL:4900573_7_5,PMC4900573
QTL:4900573_7_6,PMC4900573
QTL:4900573_7_7,PMC4900573
QTL:4900573_7_8,PMC4900573
QTL:4900573_7_9,PMC4900573
QTL:5567664_3_1,PMC5567664
QTL:5567664_3_10,PMC5567664
QTL:5567664_3_11,PMC5567664
QTL:5567664_3_2,PMC5567664
QTL:5567664_3_3,PMC5567664
QTL:5567664_3_4,PMC5567664
QTL:5567664_3_5,PMC5567664
QTL:5567664_3_6,PMC5567664
QTL:5567664_3_7,PMC5567664
QTL:5567664_3_8,PMC5567664
QTL:5567664_3_9,PMC5567664
QTL:5854731_4_1,PMC5854731
QTL:5854731_4_12,PMC5854731
QTL:5854731_4_13,PMC5854731
QTL:5854731_4_17,PMC5854731
QTL:5854731_4_2,PMC5854731
QTL:5854731_4_21,PMC5854731
QTL:5854731_4_24,PMC5854731
QTL:5854731_4_25,PMC5854731
QTL:5854731_4_26,PMC5854731
QTL:5854731_4_27,PMC5854731
QTL:5854731_4_3,PMC5854731
QTL:5854731_4_5,PMC5854731
QTL:5854731_4_9,PMC5854731
QTL:5895667_4_1,PMC5895667
QTL:5895667_4_10,PMC5895667
QTL:5895667_4_12,PMC5895667
QTL:5895667_4_16,PMC5895667
QTL:5895667_4_17,PMC5895667
QTL:5895667_4_18,PMC5895667
QTL:5895667_4_2,PMC5895667
QTL:5895667_4_20,PMC5895667
QTL:5895667_4_4,PMC5895667
QTL:5895667_4_5,PMC5895667
QTL:5895667_4_7,PMC5895667
QTL:5895667_4_8,PMC5895667
QTL:6034811_3_1,PMC6034811
QTL:6034811_3_2,PMC6034811
QTL:6034811_3_3,PMC6034811
QTL:6034811_3_4,PMC6034811
QTL:6034811_3_5,PMC6034811
QTL:6034811_3_6,PMC6034811
QTL:6034811_4_1,PMC6034811
QTL:6034811_4_10,PMC6034811
QTL:6034811_4_11,PMC6034811
QTL:6034811_4_12,PMC6034811
QTL:6034811_4_13,PMC6034811
QTL:6034811_4_14,PMC6034811
QTL:6034811_4_2,PMC6034811
QTL:6034811_4_3,PMC6034811
QTL:6034811_4_4,PMC6034811
QTL:6034811_4_5,PMC6034811
QTL:6034811_4_6,PMC6034811
QTL:6034811_4_7,PMC6034811
QTL:6034811_4_9,PMC6034811
QTL:3464107_4_1,PMC3464107
QTL:3464107_4_11,PMC3464107
QTL:3464107_4_13,PMC3464107
QTL:3464107_4_15,PMC3464107
QTL:3464107_4_17,PMC3464107
QTL:3464107_4_19,PMC3464107
QTL:3464107_4_2,PMC3464107
QTL:3464107_4_21,PMC3464107
QTL:3464107_4_24,PMC3464107
QTL:3464107_4_25,PMC3464107
QTL:3464107_4_26,PMC3464107
QTL:3464107_4_27,PMC3464107
QTL:3464107_4_28,PMC3464107
QTL:3464107_4_29,PMC3464107
QTL:3464107_4_3,PMC3464107
QTL:3464107_4_30,PMC3464107
QTL:3464107_4_4,PMC3464107
QTL:3464107_4_6,PMC3464107
QTL:3464107_4_7,PMC3464107
QTL:3464107_4_8,PMC3464107
QTL:3464107_4_9,PMC3464107
QTL:3852376_4_100,PMC3852376
QTL:3852376_4_106,PMC3852376
QTL:3852376_4_107,PMC3852376
QTL:3852376_4_111,PMC3852376
QTL:3852376_4_112,PMC3852376
QTL:3852376_4_114,PMC3852376
QTL:3852376_4_115,PMC3852376
QTL:3852376_4_122,PMC3852376
QTL:3852376_4_127,PMC3852376
QTL:3852376_4_131,PMC3852376
QTL:3852376_4_19,PMC3852376
QTL:3852376_4_37,PMC3852376
QTL:3852376_4_70,PMC3852376
QTL:3852376_4_75,PMC3852376
QTL:3852376_4_79,PMC3852376
QTL:3852376_4_83,PMC3852376
QTL:3852376_4_88,PMC3852376
QTL:3852376_4_89,PMC3852376
QTL:3852376_4_94,PMC3852376
QTL:3859326_3_2,PMC3859326
QTL:3859326_3_9,PMC3859326
QTL:4034497_2_1,PMC4034497
QTL:4034497_2_2,PMC4034497
QTL:4034497_2_3,PMC4034497
QTL:4034497_2_4,PMC4034497
QTL:4034497_2_5,PMC4034497
QTL:4034497_2_6,PMC4034497
QTL:4266912_3_11,PMC4266912
QTL:4266912_3_13,PMC4266912
QTL:4266912_3_19,PMC4266912
QTL:4266912_3_2,PMC4266912
QTL:4266912_3_20,PMC4266912
QTL:4266912_3_5,PMC4266912
QTL:4266912_3_8,PMC4266912
QTL:4321030_4_1,PMC4321030
QTL:4321030_4_13,PMC4321030
QTL:4321030_4_14,PMC4321030
QTL:4321030_4_16,PMC4321030
QTL:4321030_4_2,PMC4321030
QTL:4321030_4_20,PMC4321030
QTL:4321030_4_21,PMC4321030
QTL:4321030_4_24,PMC4321030
QTL:4321030_4_26,PMC4321030
QTL:4321030_4_28,PMC4321030
QTL:4321030_4_34,PMC4321030
QTL:4321030_4_36,PMC4321030
QTL:4321030_4_41,PMC4321030
QTL:4321030_4_43,PMC4321030
QTL:4321030_4_49,PMC4321030
QTL:4321030_4_7,PMC4321030
QTL:4321030_4_8,PMC4321030
QTL:4579088_2_1,PMC4579088
QTL:4579088_2_16,PMC4579088
QTL:4579088_2_18,PMC4579088
QTL:4579088_2_19,PMC4579088
QTL:4579088_2_2,PMC4579088
QTL:4579088_2_21,PMC4579088
QTL:4579088_2_25,PMC4579088
QTL:4579088_2_29,PMC4579088
QTL:4579088_2_30,PMC4579088
QTL:4579088_2_31,PMC4579088
QTL:4579088_2_33,PMC4579088
QTL:4579088_2_35,PMC4579088
QTL:4579088_2_36,PMC4579088
QTL:4579088_2_37,PMC4579088
QTL:4579088_2_39,PMC4579088
QTL:4579088_2_40,PMC4579088
QTL:4579088_2_42,PMC4579088
QTL:4579088_2_50,PMC4579088
QTL:4579088_2_54,PMC4579088
QTL:4579088_2_56,PMC4579088
QTL:4579088_2_6,PMC4579088
QTL:4579088_2_60,PMC4579088
QTL:4579088_2_62,PMC4579088
QTL:4579088_2_63,PMC4579088
QTL:4579088_2_64,PMC4579088
QTL:4579088_2_65,PMC4579088
QTL:4579088_2_66,PMC4579088
QTL:4579088_2_7,PMC4579088
QTL:4579088_2_74,PMC4579088
QTL:4579088_2_77,PMC4579088
QTL:4579088_2_80,PMC4579088
QTL:4579088_2_81,PMC4579088
QTL:4579088_2_82,PMC4579088
QTL:4579088_2_83,PMC4579088
QTL:4872001_2_1,PMC4872001
QTL:4872001_2_23,PMC4872001
QTL:4872001_2_29,PMC4872001
QTL:4872001_2_42,PMC4872001
QTL:4948827_5_17,PMC4948827
QTL:4948827_6_15,PMC4948827
QTL:4948827_6_18,PMC4948827
QTL:4969537_2_1,PMC4969537
QTL:4969537_2_2,PMC4969537
QTL:4969537_2_3,PMC4969537
QTL:4969537_2_5,PMC4969537
QTL:4999453_2_26,PMC4999453
QTL:5181584_3_1,PMC5181584
QTL:5181584_3_2,PMC5181584
QTL:5181584_3_4,PMC5181584
QTL:5181584_3_6,PMC5181584
QTL:5181584_4_1,PMC5181584
QTL:5181584_4_2,PMC5181584
QTL:5395597_2_1,PMC5395597
QTL:5395597_2_11,PMC5395597
QTL:5395597_2_12,PMC5395597
QTL:5395597_2_2,PMC5395597
QTL:5395597_2_3,PMC5395597
QTL:5395597_2_5,PMC5395597
QTL:5395597_2_8,PMC5395597
